City_ID,City,Country,Max Temp,Current Description,Latitudes,Longitudes,Hotel Name
62,Hami,CN,29.12,overcast clouds,42.8,93.45,Laoyutang Resort
65,Antofagasta,CL,63.68,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
66,Kaeo,NZ,77.32,scattered clouds,-35.1,173.7833,Bushido Lodge
67,Puri,IN,72.37,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
68,Mbandaka,CD,72.41,overcast clouds,0.0487,18.2603,Guest House Epervier
70,Kondoa,TZ,61.72,broken clouds,-4.9,35.7833,Kinyuma Lodge
71,Ulladulla,AU,67.08,overcast clouds,-35.35,150.4667,Sandpiper Motel
72,Avarua,CK,82.45,moderate rain,-21.2078,-159.775,Paradise Inn
76,Jamestown,US,44.33,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
77,Toba,JP,50.0,overcast clouds,34.4833,136.85,ホテル アルティア鳥羽
78,Aguas Formosas,BR,70.14,scattered clouds,-17.0822,-40.9358,HAVAY PALACE HOTEL
80,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
82,Cape Town,ZA,61.27,moderate rain,-33.9258,18.4232,Southern Sun Waterfront Cape Town
84,Rio Esteban,HN,80.6,scattered clouds,15.8333,-86.3,Hotel La Fé
86,Oskarshamn,SE,30.79,overcast clouds,57.2645,16.4484,Best Western Hotel Corallen
89,Upernavik,GL,25.09,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
91,Am Timan,TD,78.24,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
93,Porto Murtinho,BR,85.06,overcast clouds,-21.6989,-57.8825,Hotel Pantanal
94,Chipinge,ZW,65.01,scattered clouds,-20.1883,32.6236,Chipinge Breeze Lodge
95,Tuatapere,NZ,54.82,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
96,East London,ZA,68.79,overcast clouds,-33.0153,27.9116,Tu Casa
97,Palmas De Monte Alto,BR,72.88,broken clouds,-14.2672,-43.1619,RAVENA AUTO POSTO LTDA
98,San Antonio,US,78.82,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
99,Nanortalik,GL,27.07,light snow,60.1432,-45.2371,Hotel Kap Farvel
104,Korla,CN,30.16,overcast clouds,41.7597,86.1469,Gulisitan Hotel
105,Hambantota,LK,77.05,clear sky,6.1241,81.1185,Bungalow 63
106,Butaritari,KI,80.82,moderate rain,3.0707,172.7902,Isles Sunset Lodge
107,Saldanha,ZA,60.85,few clouds,-33.0117,17.9442,Blue Bay Lodge
108,Nome,US,32.07,mist,64.5011,-165.4064,Dredge 7 Inn
109,Santiago De Chuco,PE,53.49,light rain,-8.15,-78.1833,Hostal San Cristóbal
110,Mar Del Plata,AR,63.88,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
111,Manthani,IN,64.9,clear sky,18.65,79.6667,Arepelli kumar muncipal vice chairman
112,Kaitangata,NZ,53.92,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
113,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
114,Zhezkazgan,KZ,31.6,overcast clouds,47.8043,67.7144,Hotel Zumrat
115,Chuy,UY,65.3,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
116,Saint-Philippe,RE,76.55,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
118,Hobyo,SO,78.42,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
119,Ballina,AU,68.18,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
121,Torbay,CA,32.76,scattered clouds,47.6666,-52.7314,Gallows Cove
122,Kathmandu,NP,53.82,few clouds,27.7167,85.3167,Hotel Shanker Kathmandu
123,Esperance,AU,62.96,overcast clouds,-33.8667,121.9,Hospitality Esperance
124,Cascais,PT,56.52,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
125,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
126,Danjiangkou,CN,46.29,clear sky,32.5428,111.5086,Dongsheng Guesthouse
127,Malhador,BR,75.85,broken clouds,-10.6578,-37.3047,Chácara Três Irmãs
128,Rajapur,IN,64.13,clear sky,25.3833,81.15,Ravi roy
129,Beyla,GN,72.25,broken clouds,8.6833,-8.6333,DIAN SINKO
130,Constitucion,CL,63.73,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
131,Meulaboh,ID,75.85,overcast clouds,4.1363,96.1285,Kost Pria
132,Ponta Do Sol,PT,65.03,scattered clouds,32.6667,-17.1,Hotel do Campo
135,Bengkulu,ID,74.98,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
136,Guerrero Negro,MX,67.44,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
137,Victoria,HK,64.33,scattered clouds,22.2855,114.1577,Mini Hotel Central
138,Chalchihuites,MX,64.31,overcast clouds,23.4833,-103.8833,Hotel chalchihuites
139,Port Hedland,AU,91.45,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
142,Mehamn,NO,28.35,light shower snow,71.0357,27.8492,Mehamn Arctic Hotel AS
143,Warrington,GB,39.36,broken clouds,53.3925,-2.5802,Patten Arms Hotel
144,Half Moon Bay,US,68.5,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
145,Salalah,OM,71.31,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
147,Georgetown,MY,77.9,few clouds,5.4112,100.3354,Cititel Penang
148,Mujiayingzi,CN,27.57,broken clouds,42.1167,118.7833,Jinjiang Hotel
150,Savannah Bight,HN,79.0,clear sky,16.45,-85.85,Villa on Dunbar Rock
152,Dronfield,GB,39.16,overcast clouds,53.3022,-1.4751,DoubleTree by Hilton Hotel Sheffield Park
153,Dunedin,NZ,54.81,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
154,Airai,TL,65.5,overcast clouds,-8.9266,125.4092,Juvinal Martin
155,Klaksvik,FO,38.32,scattered clouds,62.2266,-6.589,Airbnb rooms
156,Panzhihua,CN,48.67,few clouds,26.5851,101.7128,Electric Power Hotel
158,Wajima,JP,45.28,broken clouds,37.4,136.9,Wajiima Onsen Yashio
159,Syracuse,IT,52.32,scattered clouds,37.0881,15.2792,Hotel Posta
160,Tasiilaq,GL,29.86,light snow,65.6145,-37.6368,The Red House
161,Wilmington,US,62.51,scattered clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
162,Westport,US,45.99,clear sky,41.1415,-73.3579,Norwalk Inn
163,Sakakah,SA,58.57,overcast clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
164,Chardara,KZ,42.78,clear sky,41.2547,67.9692,Жанаргул
166,Luanda,AO,77.59,light rain,-8.8368,13.2343,Hotel Fórum
167,Hobart,AU,65.01,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
168,Ramos Arizpe,MX,79.09,broken clouds,25.55,-100.9667,Mario's Inn
169,New Norfolk,AU,64.65,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
170,Owando,CG,72.64,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
171,Mackay,AU,86.68,overcast clouds,-21.15,149.2,International Lodge Motel
173,Buk,PL,32.76,overcast clouds,52.3553,16.5196,Hotel i Restauracja Melodia
174,Fortuna,US,54.32,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
176,Jacqueville,CI,84.11,clear sky,5.2052,-4.4146,Hotel Le Martin Pecheur
177,Puerto Ayora,EC,69.64,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
178,Puerto Escondido,MX,85.03,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
179,Muroto,JP,44.64,overcast clouds,33.2833,134.15,Oota Ryokan
180,Santa Marta,CO,86.05,broken clouds,11.2408,-74.199,Casa de Isabella
181,Wanaka,NZ,51.12,overcast clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
182,Lardos,GR,59.95,scattered clouds,36.0942,28.0157,Lindos Princess Beach Hotel
183,Nhulunbuy,AU,88.41,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
185,Marana,US,77.61,clear sky,32.4367,-111.2254,Valley of the Sun Mobile Home & RV Park 55+
186,Praya,CV,72.14,clear sky,14.9215,-23.5087,LT Aparthotel
187,Whyalla,AU,66.09,overcast clouds,-33.0333,137.5833,Foreshore Motor Inn
189,Kokopo,PG,78.62,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
191,Lata,PT,52.92,scattered clouds,40.1629,-8.3327,Casa Maquia
192,Saint Anthony,US,37.92,overcast clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
193,Prainha,BR,79.07,light rain,-1.8,-53.48,Casa Rocha
194,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Poutur Pousada
195,Pochutla,MX,85.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
196,Saint George,US,70.36,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
197,Port Alfred,ZA,68.59,overcast clouds,-33.5906,26.891,The Halyards Hotel
198,Souillac,MU,78.37,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
199,Tres Arroyos,AR,63.9,broken clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
200,Komsomolskiy,UZ,40.42,overcast clouds,40.4272,71.7189,Ikathouse
201,Paso De Carrasco,UY,66.34,broken clouds,-34.8603,-56.0522,Hotel Sofitel Montevideo Casino Carrasco and Spa
